ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,Sex,Age,AgeCategory,PrimaryOrMetastasis,SampleCollectionSite,ModelType,GrowthPattern,TissueOrigin
ACH-000001,NIH:OVCAR-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC,Female,60.0,Adult,Metastatic,ascites,Cell Line,Adherent,
ACH-000004,HEL,Myeloid,Acute Myeloid Leukemia,"AML, NOS",AMLNOS,Male,30.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000005,HEL 92.1.7,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,30.0,Adult,,bone_marrow,Cell Line,Mixed,
ACH-000007,LS513,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Male,63.0,Adult,Primary,large_intestine,Cell Line,Adherent,
ACH-000008,A101D,Skin,Melanoma,Melanoma,MEL,Male,56.0,Adult,Primary,skin,Cell Line,Adherent,
ACH-000009,C2BBe1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Male,72.0,Adult,Primary,Colon,Cell Line,Adherent,
ACH-000011,253J,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA,Male,53.0,Adult,Metastatic,lymph_node,Cell Line,Adherent,
ACH-000012,HCC-827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,39.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-000013,ONCO-DG-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC,Female,60.0,Adult,Metastatic,ascites,Cell Line,Adherent,
ACH-000014,Hs 294T,Skin,Melanoma,Melanoma,MEL,Male,56.0,Adult,Metastatic,lymph_node,Cell Line,Adherent,
ACH-000015,NCI-H1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,Male,44.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-000017,SK-BR-3,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,Female,43.0,Adult,Metastatic,pleural_effusion,Cell Line,Mixed,
ACH-000018,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA,Female,82.0,Adult,Primary,urinary_tract,Cell Line,Adherent,
ACH-000019,MCF-7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,Female,69.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000021,NCI-H1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,55.0,Adult,Metastatic,lymph_node,Cell Line,Adherent,
ACH-000022,PA-TU-8988S,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Female,64.0,Adult,Metastatic,liver,Cell Line,Adherent,
ACH-000023,PA-TU-8988T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Female,64.0,Adult,Metastatic,liver,Cell Line,Adherent,
ACH-000024,OPM-2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM,Female,56.0,Adult,Primary,haematopoietic_and_lymphoid_tissue,Cell Line,Suspension,
ACH-000025,CH-157MN,CNS/Brain,Meningothelial Tumor,Meningioma,MNG,Female,41.0,Adult,Primary,central_nervous_system,Cell Line,Mixed,
ACH-000028,KPL-1,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,Female,69.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000029,HCC-827-GR5,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Female,39.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-000030,PC-14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,Male,45.0,Adult,Primary,lung,Cell Line,Adherent,
ACH-000035,NCI-H1650,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,Male,27.0,Adult,Metastatic,pleural_effusion,Cell Line,Adherent,
ACH-000036,U343,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Male,64.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000037,S-117,Soft Tissue,"Sarcoma, NOS","Sarcoma, NOS",SARCNOS,Female,47.0,Adult,,soft_tissue,Cell Line,Adherent,
ACH-000039,SK-N-MC,Bone,Ewing Sarcoma,Ewing Sarcoma,ES,Female,14.0,Pediatric,Metastatic,bone,Cell Line,Adherent,
ACH-000040,U-118 MG,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",ASTR,Male,47.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-000041,RD-ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES,Male,19.0,Adult,Primary,bone,Cell Line,Mixed,
ACH-000042,Panc 02.03,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Female,70.0,Adult,Primary,pancreas,Cell Line,Adherent,
